neighborhood,latitude,longitude
Alphabet City,40.726,-73.979
Battery Park City,40.713,-74.016
Carnegie Hill,40.784726,-73.95607
Chelsea,40.746,-74.001
Chinatown,40.715,-73.997
East Harlem,40.795,-73.939
East Village,40.728,-73.986
Financial District,40.708,-74.011
Flatiron District,40.7408,-73.9896
Gramercy Park,40.7378,-73.9861
Greenwich Village,40.734,-74.002
Harlem,,
Hells Kitchen,40.764,-73.992
Clinton,40.764,-73.992
Inwood,40.867,-73.922
Kips Bay,40.741,-73.978
Lincoln Square,40.773828,-73.9844722
Lower East Side,40.715,-73.985
Manhattan Valley,40.79935278,-73.96291944
Midtown East,40.747,-73.986
Morningside Heights,40.80972222,-73.96027778
Murray Hill,40.748,-73.978
Little Italy,40.719,-73.997
Roosevelt Island,40.76138889,-73.95083333
SoHo,40.723,-74.0
Tribeca,40.718,-74.008
Upper East Side,40.769,-73.966
Upper West Side,40.787,-73.975
Washington Heights,40.84,-73.94
West Village,40.736,-74.004
Baychester,40.87,-73.835
Co-op City,40.874,-73.829
Bedford Park,40.87,-73.886
Belmont,40.855,-73.886
Bronxdale,40.866,-73.851
Castle Hill,40.819,-73.85
City Island,40.848,-73.786
Concourse Village,40.827,-73.923
Morrisania,40.832,-73.904
Country Club,40.839,-73.82
Fieldston,40.894,-73.903
Fordham,40.859,-73.898
Hunts Point,40.813,-73.884
Kingsbridge,40.879,-73.905
Kingsbridge Heights,40.872,-73.902
Melrose,40.825,-73.91
Morris Heights,40.85,-73.92
Morris Park,40.852,-73.853
Mott Haven,40.81,-73.926
Parkchester,40.839,-73.86
Pelham Bay,40.851,-73.833
Pelham Gardens,40.861,-73.845
Pelham Parkway,40.858,-73.856
Port Morris,40.802,-73.91
Riverdale,40.894,-73.913
Soundview,40.816,-73.868
Throgs Neck,40.823,-73.82
Tremont,40.85,-73.906
University Heights,40.86,-73.909
Wakefield,40.897,-73.852
Williamsbridge,40.877,-73.866
Woodlawn,40.898,-73.867
Arverne,40.59,-73.795
Astoria,40.767,-73.921
Bayside,40.76,-73.77
Beechhurst,40.79,-73.8
Belle Harbor,40.575,-73.85
Neponsit,40.572,-73.86
Bellerose,40.735,-73.72
Briarwood,40.71,-73.81
Broad Channel,40.605,-73.82
Cambria Heights,40.695,-73.735
College Point,40.785,-73.835
Corona,40.73497,-73.86497
Douglaston,40.77,-73.75
East Elmhurst,40.761,-73.865
Elmhurst,40.74,-73.88
Far Rockaway,40.601,-73.757
Floral Park,40.72388889,-73.70583333
Flushing,40.765,-73.805
Forest Hills,40.715,-73.845
Fresh Meadows,40.735,-73.78
Glen Oaks,40.75,-73.71
Glendale,40.7,-73.88
Hillcrest,40.735,-73.78
Hollis,40.71,-73.76
Hollis Hills,40.715,-73.74
Howard Beach,40.658,-73.84
Jackson Heights,40.75138889,-73.88694444
Jamaica,40.7,-73.8
Jamaica Estates,40.719,-73.774
Jamaica Hills,40.71277778,-73.79916667
Kew Gardens,40.705,-73.825
Laurelton,40.675,-73.745
Little Neck,40.77,-73.75
Long Island City,40.7509,-73.9411
Maspeth,40.715,-73.805
Middle Village,40.72,-73.88
Oakland Gardens,40.76,-73.77
Ozone Park,40.68,-73.85
Queens Village,40.715,-73.74
Rego Park,40.725,-73.86
Richmond Hill,40.695,-73.83
Ridgewood,40.7,-73.9
Rockaway Park,40.579,-73.841
Rosedale,40.656,-73.74
South Jamaica,40.68,-73.79
South Ozone Park,40.676,-73.812
Springfield Gardens,40.66,-73.77
St. Albans,40.69,-73.765
Sunnyside,40.743,-73.92
Whitestone,40.79,-73.81
Woodhaven,40.691,-73.8525
Woodside,40.745,-73.905
Bath Beach,40.602,-74.003
Bay Ridge,40.624,-74.032
Bedford-Stuyvesant,40.687,-73.941
Bensonhurst,40.603,-74.002
Bergen Beach,40.62,-73.907
Boerum Hill,40.685,-73.98444444
Borough Park,40.634,-73.993
Brighton Beach,40.58,-73.96
Brooklyn Heights,40.696,-73.995
Brownsville,40.662,-73.909
Bushwick,40.697,-73.917
Canarsie,40.64,-73.902
Carroll Gardens,40.681,-73.998
Cobble Hill,40.68819444,-73.99594444
Coney Island,40.574,-73.978
Crown Heights,40.673,-73.946
Cypress Hills,40.67,-73.89
Downtown Brooklyn,40.694,-73.986
Dumbo,40.703,-73.99
Vinegar Hill,40.702,-73.981
Dyker Heights,40.62,-74.007
East New York,40.67,-73.89
Flatbush,40.645,-73.96
Flatlands,40.621,-73.935
Fort Greene,40.687,-73.975
Clinton Hill,40.69,-73.96
Gerritsen Beach,40.59138889,-73.92666667
Gowanus,40.6753,-73.9911
Gravesend,40.598,-73.971
Greenpoint,40.73,-73.95
Greenwood Heights,40.659,-74.0
Manhattan Beach,40.578,-73.944
Marine Park,40.598,-73.92
Midwood,40.623,-73.962
Mill Basin,40.61,-73.911
Park Slope,40.672,-73.977
Prospect Heights,40.67777778,-73.96944444
Prospect Park South,40.646111,-73.967222
Kensington,40.638528,-73.973167
Red Hook,40.677,-74.011
Sea Gate,40.57719444,-74.008025
Sheepshead Bay,40.582,-73.942
Sunset Park,40.64333333,-74.01444444
Williamsburg,40.71,-73.96
Windsor Terrace,40.655,-73.979
Annadale,40.54444444,-74.17638889
Arden Heights,40.55472222,-74.18
Arrochar,40.59888889,-74.07222222
Bulls Head,40.60722222,-74.1625
Castleton Corners,40.61305556,-74.1225
Charleston,40.53694444,-74.23722222
Clifton,40.62,-74.078
